character;rank;LWO;rank_median;definition;pinyin;decomposition;radical;type;phonetic;semantic;freq1;freq2
的;1;8;4;aim, goal/ of/ possessive particle/ -self suffix;de;⿰白勺;白;;;;7922684;4,0943253178
一;2;27;14;one/ a, an/ alone;yī;？;一;ideographic;;;3050722;5,6708930974
是;3;17;10;to be/ indeed, right, yes/ okay;shì;⿱日疋;日;ideographic;;;2615490;7,0225394493
不;4;21;12;no, not, un-/ negative prefix;bù;⿱一？;一;ideographic;;;2237915;8,1790606539
了;5;18;12;clear/ to finish/ particle of completed action;le/liǎo;⿱乛亅;亅;pictographic;;;2128528;9,279052283
在;6;30;18;at, in, on/ to exist/ used to indicate the present progressive tense;zài;⿸才土;土;pictophonetic;才;土;2009181;10,317367157
人;7;9;8;man, person/ people;rén;？;人;pictographic;;;1867999;11,282721271
有;8;33;20;to have, to own, to possess/ to exist;yǒu;⿸？月;月;pictophonetic;月;;1782004;12,203634449
我;9;3;6;I, me, my/ our, us;wǒ;⿰扌戈;戈;ideographic;;;1690048;13,077026132
他;10;26;18;other, another/ he, she, it;tā;⿰亻也;亻;ideographic;;;1595761;13,901691695
这;11;24;18;this, these/ such/ here;zhè;⿺辶文;辶;;;;1552042;14,703763929
个;12;42;27;this, that/ single/ measure word for individuals;gè;⿱人丨;丨;ideographic;;;1199580;15,323689041
们;13;20;16;plural marker for pronouns and some nouns;men;⿰亻门;亻;pictophonetic;门;亻;1169853;15,928251681
中;14;291;152;central/ center, middle/ amidst/ to hit (target), to attain/ China/ Chinese;zhōng;⿻口丨;丨;ideographic;;;1104541;16,499062051
来;15;78;46;to arrive, to come, to return/ in the future, later on;lái;⿻未丷;木;ideographic;;;1079469;17,056915583
上;16;96;56;above, on top, superior/ to go up/ to attend/ previous;shàng;⿱⺊一;一;ideographic;;;1069575;17,609656043
大;17;132;74;big, great, vast, high, deep;dà;⿻一人;大;ideographic;;;1054064;18,15438065
为;18;100;59;to do, to act/ to handle, to govern/ to be;wèi;⿻丶⿴力丶;丶;;;;1039036;18,691339009
和;19;105;62;harmony, peace/ calm, peaceful;hé;⿰禾口;口;pictophonetic;禾;口;1010465;19,2135323
国;20;327;174;country, nation, state/ national;guó;⿴囗玉;囗;ideographic;;;985350;19,722746532
地;21;202;112;earth, ground, soil/ land, region/ structural particle used before a verb;de;⿰土也;土;pictophonetic;也;土;969349;20,223691686
到;22;60;41;to go to, to arrive;dào;⿰至刂;刂;pictophonetic;刂;至;965035;20,722407428
以;23;181;102;according to/ so as to/ because of/ then;yǐ;⿰？人;人;;;;910627;21,193005925
说;24;67;46;to speak, to say/ to scold, to upbraid;shuō;⿰讠兑;讠;pictophonetic;兑;讠;874977;21,645181032
时;25;101;63;time, season/ period, era, age;shí;⿰日寸;日;pictophonetic;;日;833532;22,075937979
要;26;41;34;essential, necessary/ to ask for/ to coerce/ to demand;yào;⿱覀女;覀;ideographic;;;811011;22,495056408
就;27;50;38;just, simply/ to go to/ to approach, near;jiù;⿰京尤;尢;pictophonetic;京;尤;771108;22,893553559
出;28;122;75;to go out, to send out/ stand/ produce;chū;⿱屮凵;凵;ideographic;;;755256;23,283858633
会;29;44;36;to assemble, to meet/ meeting/ association, group;huì;⿱人云;人;ideographic;;;734888;23,663637827
可;30;84;57;may, can, -able/ possibly;kě;⿻丁口;口;pictophonetic;口;丁;723108;24,037329292
也;31;25;28;also, too;yě;⿻？乚;乚;;;;710259;24,404380585
你;32;14;23;you, second person pronoun;nǐ;⿰亻尔;亻;ideographic;;;705205;24,768820046
对;33;95;64;correct, right/ facing, opposed;duì;⿰又寸;寸;ideographic;;;703632;25,132446604
生;34;163;98;life, lifetime/ birth/ growth;shēng;⿻一土;生;ideographic;;;682031;25,484910086
能;35;145;90;can, may/ capable, full of energy;néng;⿰⿱厶⺼⿱匕匕;⺼;pictographic;;;665358;25,82875721
而;36;303;170;and, and then, and yet/ but;ér;？;而;;;;649239;26,164274274
子;37;35;36;son, child/ seed, egg/ fruit/ small thing;zi;⿻了一;子;pictographic;;;640640;26,495347502
那;38;39;38;that, that one, those;nà;⿰⿹？？阝;阝;;;;638538;26,825334449
得;39;88;64;to obtain, to get, to acquire/ suitable, proper/ ready;dé;⿰彳⿱旦寸;彳;ideographic;;;630688;27,151264632
于;40;370;205;at, in, on/ to, from/ alas!;yú;⿻二亅;二;;;;630524;27,477110062
着;41;150;96;to make a move, to take action;zhe;⿸羊目;目;;;;626326;27,800786028
下;42;149;96;below, underneath/ inferior/ to bring down/ next;xià;⿱一卜;一;ideographic;;;621185;28,121805202
自;43;248;146;self/ private, personal/ from;zì;⿻目？;自;pictographic;;;611687;28,437915951
之;44;292;168;marks preceding phrase as modifier of following phrase/ it, him her, them/ to go to;zhī;⿱丶？;丿;ideographic;;;609003;28,752639648
年;45;380;212;year/ anniversary/ a person's age;nián;⿻干？;干;ideographic;;;601887;29,063685902
过;46;90;68;pass/ to go across, to pass through;guò;⿺辶寸;辶;pictophonetic;咼;辶;589925;29,368550373
发;47;257;152;to issue, to dispatch, to send out/ hair;fā;⿸？又;又;;;;572904;29,664618644
后;48;162;105;after/ behind, rear/ descendants;hòu;⿸？口;口;;;;570764;29,959580994
作;49;234;142;to make/ to write, to compose/ to act, to perform;zuò;⿰亻乍;亻;ideographic;;;542791;30,240087314
里;50;160;105;unit of distance equal to 0.5km/ village/ lane;lǐ;⿱田土;里;ideographic;;;537795;30,518011776
用;51;276;164;to use, to employ, to apply/ use;yòng;⿵冂？;用;;;;535480;30,79473988
道;52;76;64;method, way/ path, road;dào;⿺辶首;辶;pictophonetic;首;辶;534695;31,071062307
行;53;311;182;to go, to walk, to move/ professional;xíng;⿰彳亍;行;ideographic;;;531848;31,345913448
所;54;174;114;"place, location/ ""that which"", a particle introducing a passive clause";suǒ;⿰户斤;户;ideographic;;;523028;31,616206543
然;55;183;119;certainly/ naturally/ suddenly;rán;⿱肰灬;灬;pictophonetic;肰;灬;511026;31,880297183
家;56;159;108;house, home, residence/ family;jiā;⿱宀豕;宀;pictophonetic;豕;宀;509790;32,143749077
种;57;318;188;race, kind, breed/ seed/ to plant;zhǒng;⿰禾中;禾;pictophonetic;中;禾;503344;32,403869774
事;58;188;123;affair, matter, business/ to serve/ accident, incident;shì;⿻⿳一口彐亅;亅;;;;499172;32,661834443
成;59;250;154;to accomplish/ to become/ to complete, to finish/ to succeed;chéng;⿰丁戈;戈;;;;499007;32,919713843
方;60;306;183;square, rectangle/ side/ region/ flag;fāng;⿱亠？;方;;;;492763;33,174366436
多;61;165;113;much, many, multi-/ more than, over;duō;⿱夕夕;夕;ideographic;;;481689;33,423296151
经;62;199;130;the classics/ to experience, to undergo;jīng;⿰纟⿱？工;纟;pictophonetic;工;纟;481338;33,672044474
么;63;34;48;interrogative particle;me;⿱丿厶;丿;;;;477969;33,919051748
去;64;106;85;to go away, to leave, to depart;qù;⿱土厶;厶;;;;476270;34,165181004
法;65;254;160;law, rule, statute/ method, way/ French;fǎ;⿰氵去;氵;ideographic;;;466816;34,406424574
学;66;523;294;learning, knowledge, science/ to study, to go to school/ -ology;xué;⿱⿱⺍冖子;子;ideographic;;;464261;34,646347757
如;67;156;112;as, as if, like, such as, supposing;rú;⿰女口;女;ideographic;;;449036;34,878402887
都;68;99;84;all, each, entirely, whole/ metropolis/ capital;dōu;⿰者阝;阝;pictophonetic;者;阝;439568;35,105565095
同;69;517;293;same, similar/ together with, alike;tóng;⿵凡口;口;ideographic;;;437611;35,331715954
现;70;111;90;to appear, to manifest/ current, now;xiàn;⿰王见;王;ideographic;;;433960;35,555980031
当;71;197;134;appropriate, timely/ to act, to serve/ the sound of bells;dāng;⿱⺌彐;⺌;;;;429274;35,777822453
没;72;56;64;not, none, gone/ to bury/ to sink, to drown;méi;⿰氵殳;氵;pictophonetic;殳;氵;428146;35,999081942
动;73;293;183;to move, to happen/ movement, action;dòng;⿰云力;力;pictophonetic;;力;426839;36,219665992
面;74;367;220;face/ surface, side/ plane, dimension;miàn;⿱？？;面;pictographic;;;425180;36,439392695
起;75;131;103;to begin, to initiate/ to rise, to stand up;qǐ;⿺走己;走;pictophonetic;己;走;424933;36,658991753
看;76;82;79;to look, to see/ to examine, to scrutinize;kàn;⿱手目;目;ideographic;;;424616;36,87842699
定;77;190;134;to decide, to fix, to settle/ to order/ definite, fixed, sure;dìng;⿱宀疋;宀;ideographic;;;422538;37,096788347
天;78;133;106;sky, heaven/ god, celestial;tiān;⿱一大;大;ideographic;;;419884;37,313778156
分;79;297;188;to divide, to allocate/ fraction/ small unit of time or other quantity;fēn;⿱八刀;刀;ideographic;;;419382;37,53050854
还;80;93;86;also, besides/ still, yet/ to return;hái;⿺辶不;辶;ideographic;;;415855;37,745416222
进;81;269;175;to advance, to make progress/ to come in, to enter;jìn;⿺辶井;辶;pictophonetic;井;辶;412166;37,958417484
好;82;37;60;good, excellent, fine/ proper, suitable/ well;hǎo;⿰女子;女;ideographic;;;411866;38,17126371
小;83;10;46;small, tiny, insignificant;xiǎo;⿻亅八;小;ideographic;;;410987;38,383655682
部;84;373;228;department, ministry/ division, unit/ part, section;bù;⿰咅阝;阝;pictophonetic;咅;阝;403066;38,591954199
其;85;246;166;his, her, its, their/ that;qí;⿱甘⿱一八;八;;;;403028;38,800233078
些;86;155;120;little, few/ rather, somewhat;xiē;⿱此二;二;pictophonetic;此;二;400528;39,007219995
主;87;341;214;to own/ to host/ master/ host/ lord;zhǔ;⿱丶王;丶;pictographic;;;399693;39,213775396
样;88;103;96;form, pattern, shape, style;yàng;⿰木羊;木;pictophonetic;羊;木;398149;39,41953288
理;89;324;206;science, reason, logic/ to manage;lǐ;⿰王里;王;pictophonetic;里;王;398087;39,625258324
心;90;70;80;heart/ mind/ soul;xīn;？;心;pictographic;;;392228;39,827955924
她;91;77;84;she, her;tā;⿰女也;女;ideographic;;;388612;40,028784829
本;92;325;208;root, origin, source/ basis;běn;⿻木一;木;ideographic;;;388118;40,229358441
前;93;349;221;in front, forward/ former, preceding;qián;⿱⿱丷一刖;刂;;;;381431;40,426476312
开;94;186;140;to open/ to start, to initiate, to begin;kāi;⿱一廾;廾;ideographic;;;377012;40,621310509
但;95;142;118;only/ but, however, yet, still;dàn;⿰亻旦;亻;pictophonetic;旦;;374459;40,814825354
因;96;203;150;cause, reason/ by/ because;yīn;⿴囗大;囗;;;;371612;41,006868912
只;97;151;124;only, merely, just;zhī;⿱口八;口;ideographic;;;370059;41,198109902
从;98;229;164;from, by, since, whence, through;cóng;⿰人人;人;ideographic;;;369958;41,389298697
想;99;74;86;to believe, to wish for/ to consider, to plan, to think;xiǎng;⿱相心;心;pictophonetic;相;心;368819;41,579898873
实;100;266;183;real, true/ honest, sincere;shí;⿱宀头;宀;;;;368494;41,770331095
日;101;15;58;sun/ day/ daytime;rì;⿴口一;日;pictographic;;;363763;41,958318406
军;102;662;382;army, military/ soldiers, troops;jūn;⿱冖车;车;ideographic;;;362526;42,145666453
者;103;98;100;that which/ they who/ those who;zhě;⿸耂日;耂;;;;360974;42,332212451
意;104;168;136;thought, idea, opinion/ desire, wish/ meaning, intention;yì;⿱音心;心;pictophonetic;音;心;360232;42,518374993
无;105;358;232;no, not/ lacking, -less;wú;⿱一尢;无;;;;359265;42,704037804
力;106;169;138;strength, power/ capability, influence;lì;⿻丿？;力;ideographic;;;359136;42,889633951
它;107;251;179;it/ other;tā;⿱宀匕;宀;;;;346173;43,068531011
与;108;645;376;and/ with/ to/ for/ to give, to grant;yǔ;⿹？一;一;;;;345532;43,247096812
长;109;411;260;long, lasting/ to excel in;zhǎng;⿻？一;长;ideographic;;;342148;43,423913812
把;110;135;122;to grasp, to hold/ to guard, to take/ handle;bǎ;⿰扌巴;扌;pictophonetic;巴;扌;340730;43,599998011
机;111;295;203;desk/ machine/ moment, opportunity;jī;⿰木几;木;ideographic;;;339823;43,775613486
十;112;51;82;ten, tenth/ complete/ perfect;shí;⿻一丨;十;;;;338954;43,950779875
民;113;1147;630;citizens, subjects/ a nation's people;mín;⿻巳戈;民;ideographic;;;335796;44,124314256
第;114;329;222;sequence, number/ grade, degree/ particle prefacing an ordinal;dì;⿱⺮弟;⺮;ideographic;;;325780;44,292672517
公;115;339;227;fair, equitable/ public/ duke;gōng;⿱八厶;八;ideographic;;;318626;44,457333697
此;116;153;134;this, these/ in this case, then;cǐ;⿰止匕;止;pictophonetic;止;匕;318534;44,621947333
已;117;290;204;already/ finished/ to stop/ then, afterwards;yǐ;？;己;;;;318143;44,786358906
工;118;379;248;labor, work/ laborer, worker;gōng;⿱一丄;工;pictographic;;;317532;44,950454724
使;119;624;372;cause, mission, orders/ envoy, messenger, ambassador;shǐ;⿰亻吏;亻;ideographic;;;316273;45,113899909
情;120;233;176;emotion, feeling, sentiment;qíng;⿰忄青;忄;pictophonetic;青;忄;312900;45,275601977
明;121;230;176;bright, clear/ to explain, to understand, to shed light;míng;⿰日月;日;ideographic;;;309873;45,435739738
性;122;442;282;sex, nature, character/ suffix converting a verb to an adjective;xìng;⿰忄生;忄;pictophonetic;生;忄;309844;45,595862511
知;123;86;104;to know, to perceive, to comprehend;zhī;⿰矢口;矢;pictophonetic;矢;口;306384;45,754197207
全;124;299;212;whole, entire, complete/ to preserve;quán;⿱入玉;入;ideographic;;;305248;45,911944836
三;125;534;330;three;sān;⿱一二;一;ideographic;;;304272;46,069188083
又;126;94;110;and, also, again, in addition;yòu;？;又;pictographic;;;302933;46,225739354
关;127;267;197;frontier pass/ to close, to shut/ relation;guān;⿱丷天;丷;;;;302473;46,382052904
点;128;127;128;dot, point, speck;diǎn;⿱占灬;灬;pictophonetic;占;灬;300800;46,537501872
正;129;345;237;straight, right, proper, correct, just, true;zhèng;⿱一止;止;ideographic;;;296810;46,690888868
业;130;850;490;business, profession/ to study, to work;yè;⿱？一;一;;;;296169;46,843944605
外;131;399;265;out, outside, external/ foreign/ in addition;wài;⿰夕卜;夕;ideographic;;;295645;46,996729546
将;132;673;402;the future, what will be/ ready, prepared/ a general;jiāng;⿰丬⿱夕寸;丬;ideographic;;;295586;47,149483997
两;133;478;306;two, both, pair, couple/ ounce;liǎng;⿱一⿻冂从;一;ideographic;;;294600;47,301728897
高;134;537;336;tall, lofty/ high, elevated;gāo;⿳亠口冋;高;pictographic;;;293542;47,453427039
间;135;255;195;between, among/ midpoint/ space, place, locality;jiān;⿵门日;门;ideographic;;;292227;47,604445609
由;136;866;501;cause, reason/ from;yóu;田;田;ideographic;;;292199;47,755449709
问;137;239;188;to ask about, to inquire after;wèn;⿵门口;门;pictophonetic;门;口;288237;47,904406305
很;138;81;110;very, quite, much;hěn;⿰彳艮;彳;pictophonetic;艮;彳;284252;48,051303514
最;139;211;175;most, extremely, exceedingly/ superlative;zuì;⿱日取;曰;ideographic;;;283689;48,197909772
重;140;527;334;heavy, weighty/ to double, to repeat;zhòng;⿻千里;里;ideographic;;;282843;48,344078829
并;141;637;389;to combine, to annex/ also, what's more;bìng;⿱丷开;干;ideographic;;;281616;48,489613792
物;142;418;280;thing, substance, matter/ creature;wù;⿰牛勿;牛;pictophonetic;勿;牛;281146;48,634905865
手;143;1;72;hand;shǒu;？;手;pictographic;;;280442;48,779834122
应;144;282;213;should, must/ to respond, to handle/ to deal with, to cope;yīng;⿸广⿱⺍一;广;;;;280384;48,924732405
战;145;568;356;war, fighting, battle;zhàn;⿰占戈;戈;pictophonetic;占;戈;278776;49,068799698
向;146;764;455;towards/ direction, trend;xiàng;⿵？口;口;;;;276986;49,211941945
头;147;265;206;head/ chief, boss/ first, top;tóu;⿻⺀大;大;pictophonetic;;大;274911;49,354011863
文;148;22;85;culture, literature, writing;wén;⿱亠乂;文;pictographic;;;274222;49,495725717
体;149;457;303;body/ group, class/ form, style, system;tǐ;⿰亻本;亻;;;;273792;49,637217352
政;150;989;570;government, politics;zhèng;⿰正攵;攵;pictophonetic;正;攵;269878;49,776686291
美;151;313;232;beautiful, pretty/ pleasing;měi;⿱羊大;羊;ideographic;;;269452;49,915935079
相;152;73;112;mutual, reciprocal/ equal/ each other;xiāng;⿰木目;目;ideographic;;;269125;50,055014878
见;153;109;131;to see, to observe, to meet, to appear;jiàn;⿵冂儿;见;ideographic;;;269080;50,194071422
被;154;228;191;"bedding/ a passive particle meaning ""by""";bèi;⿰衤皮;衤;pictophonetic;皮;衤;268905;50,333037529
利;155;391;273;gains, advantage, profit, merit;lì;⿰禾刂;刂;ideographic;;;268813;50,471956091
什;156;52;104;what? mixed, miscellaneous;shén;⿰亻十;亻;ideographic;;;267869;50,610386809
二;157;154;156;two/ twice;èr;⿱一一;二;ideographic;;;267506;50,748629933
等;158;224;191;rank, grade/ same, equal/ to wait;děng;⿱⺮寺;⺮;ideographic;;;266296;50,886247747
产;159;987;573;to give birth, to bring forth, to produce;chǎn;⿳亠丷厂;亠;pictophonetic;厂;;265164;51,02328056
或;160;664;412;or, either, else/ maybe, perhaps, possibly;huò;⿹戈⿱口一;戈;ideographic;;;260786;51,158050889
新;161;365;263;new, recent, fresh, modern;xīn;⿰亲斤;斤;ideographic;;;253921;51,289273487
己;162;314;238;self, oneself/ personal, private/ 6th heavenly stem;jǐ;⿱？乚;己;pictographic;;;250894;51,418931776
制;163;633;398;system/ to establish/ to manufacture/ to overpower;zhì;⿰⿻？巾刂;刂;pictophonetic;巾;刂;250754;51,548517716
身;164;146;155;body, torso/ person/ pregnancy;shēn;？;身;pictographic;;;249725;51,677571884
果;165;185;175;fruit, nut/ result;guǒ;⿱田木;木;ideographic;;;246831;51,805130475
加;166;344;255;to add to, to increase, to augment;jiā;⿰力口;力;ideographic;;;243648;51,93104414
西;167;357;262;west, western, westward;xī;⿻兀囗;西;pictographic;;;243619;52,056942818
斯;168;247;208;this, thus, such/ emphatic particle/ used in transliterations;sī;⿰其斤;斤;;;;240900;52,181436357
月;169;31;100;moon/ month;yuè;⿵冂二;月;pictographic;;;240566;52,305757289
话;170;177;174;talk, speech/ language, dialect;huà;⿰讠舌;讠;ideographic;;;240067;52,429820346
合;171;138;154;to combine, to join, to unite/ to gather;hé;⿱亼口;口;;;;239277;52,553475143
回;172;179;176;to return, to turn around/ a time;huí;⿴囗口;囗;ideographic;;;239243;52,677112369
特;173;298;236;special, unique, distinguished;tè;⿰牛寺;牛;pictophonetic;寺;牛;239091;52,800671043
代;174;675;424;era, generation/ to substitute for, to replace;dài;⿰亻弋;亻;ideographic;;;231734;52,92042773
内;175;560;368;inside;nèi;⿻冂人;入;ideographic;;;231331;53,039976152
信;176;263;220;to trust, to believe/ letter, sign;xìn;⿰亻言;亻;;;;230248;53,158964895
表;177;403;290;to show, to express, to display/ outside, appearance/ a watch;biǎo;⿱毛衣;衣;ideographic;;;226768;53,276155227
化;178;601;390;to change, to convert, to reform/ -ize;huà;⿰亻匕;匕;;;;224729;53,392291833
老;179;279;229;old, aged/ experienced;lǎo;⿱耂匕;老;pictographic;;;223050;53,507560758
给;180;140;160;to give, to lend/ for, by;gěi;⿰纟合;纟;pictophonetic;合;纟;217815;53,620124312
世;181;697;439;generation, era, age/ world;shì;⿻廿？;一;pictographic;;;214990;53,731227948
位;182;402;292;seat, throne/ rank, status/ position, location;wèi;⿰亻立;亻;ideographic;;;214983;53,842327967
次;183;262;222;order, sequence/ second, next/ one after the other;cì;⿰冫欠;欠;ideographic;;;214857;53,95336287
度;184;964;574;degree, system/ manner/ to consider;dù;⿸广⿱廿又;广;ideographic;;;214376;54,0641492
门;185;19;102;gate, door, entrance, opening;mén;⿰⿱丶丨？;门;pictographic;;;212769;54,174105057
任;186;378;282;to trust, to rely on/ to appoint/ to bear/ duty, office;rèn;⿰亻壬;亻;pictophonetic;壬;亻;212485;54,283914146
常;187;310;248;common, general, normal/ always, frequently, regularly;cháng;⿱尚巾;巾;pictophonetic;尚;巾;212309;54,393632281
先;188;219;204;first, former, previous;xiān;⿱⿰？土儿;儿;ideographic;;;210628;54,5024817
海;189;639;414;sea, ocean/ maritime;hǎi;⿰氵每;氵;pictophonetic;每;氵;209302;54,610645863
通;190;456;323;to pass through, to open, to connect/ to communicate/ common;tōng;⿺辶甬;辶;pictophonetic;甬;辶;209046;54,718677728
教;191;508;350;school, education;jiào;⿰孝攵;攵;pictophonetic;孝;攵;208875;54,826621223
儿;192;61;126;son, child;ér;⿰丿乚;儿;pictographic;;;207827;54,934023127
原;193;616;404;source, origin, beginning;yuán;⿸厂泉;厂;pictophonetic;泉;厂;207579;55,041296869
东;194;423;308;east, eastern, eastward;dōng;⿻七小;一;pictographic;;;206238;55,147877601
声;195;576;386;sound, noise/ voice, tone, music;shēng;⿱士？;士;ideographic;;;206083;55,254378232
提;196;475;336;to hold in the hand/ to lift, to raise;tí;⿰扌是;扌;pictophonetic;是;扌;205159;55,360401354
立;197;166;182;to stand/ to establish, to set up;lì;⿳亠丷一;立;pictographic;;;204985;55,466334554
及;198;816;507;to extend/ to reach/ and/ in time;jí;⿻？又;又;;;;202671;55,571071914
比;199;283;241;to compare, liken/ comparison/ than;bǐ;⿰匕匕;比;ideographic;;;200645;55,674762268
员;200;420;310;employee/ member/ personnel, staff;yuán;⿱口贝;口;pictophonetic;;贝;200217;55,778231437
解;201;574;388;to explain/ to loosen/ to unfasten, to untie;jiě;⿰角⿱刀牛;角;ideographic;;;200090;55,881634975
水;202;53;128;water, liquid, lotion, juice;shuǐ;⿻亅？;水;pictographic;;;198933;55,984440592
名;203;317;260;name/ position, rank, title;míng;⿸夕口;口;ideographic;;;198481;56,087012622
真;204;108;156;real, actual, true, genuine;zhēn;⿱直几;目;ideographic;;;198416;56,189551061
论;205;657;431;debate/ discussion;lùn;⿰讠仑;讠;ideographic;;;197165;56,291443003
处;206;432;319;to reside at, to live in/ place, locale/ department;chù;⿺夂卜;夂;ideographic;;;194237;56,391821797
走;207;129;168;to walk, to run, to flee;zǒu;⿱土止;走;ideographic;;;193619;56,491881218
义;208;678;443;right conduct, propriety/ justice;yì;⿻丶乂;丿;pictophonetic;乂;⺷;193507;56,591882759
各;209;479;344;individual/ each, every/ all;gè;⿱夂口;口;ideographic;;;193435;56,691847091
入;210;533;372;to enter, to come in/ to join;rù;？;入;ideographic;;;192433;56,791293605
几;211;294;252;small table/ how many/ a few, some;jǐ;⿰丿乙;几;pictographic;;;192355;56,89069981
口;212;45;128;mouth/ entrance, gate, opening;kǒu;⿱冂一;口;pictographic;;;191936;56,989889481
认;213;272;242;to know, to recognize, to understand;rèn;⿰讠人;讠;pictophonetic;人;讠;191866;57,089042978
条;214;578;396;clause, condition/ string, stripe;tiáo;⿱夂木;木;;;;191280;57,187893639
平;215;906;560;flat, level, even/ peaceful;píng;⿻干丷;广;pictographic;;;191267;57,286737581
系;216;426;321;system/ line, link, connection;xì;⿱丿糸;糸;pictophonetic;;糸;190769;57,385324164
气;217;532;374;air, gas/ steam, vapor/ anger;qì;⿱亻？;气;ideographic;;;190687;57,483868371
题;218;351;284;forehead/ headline, title/ theme;tí;⿺是页;页;pictophonetic;是;页;189921;57,582016721
活;219;343;281;to exist, to live, to survive/ living, working;huó;⿰氵舌;氵;pictophonetic;舌;氵;189876;57,680141815
尔;220;12;116;you/ that, those/ final particle;ěr;⿱⺈小;小;;;;189785;57,778219882
更;221;526;374;more, further/ to shift, to alternate/ to modify;gèng;⿱一⿻曰乂;曰;;;;187378;57,875054047
别;222;171;196;to separate, to distinguish, to classify/ to leave/ other/ do not, must not;bié;⿰另刂;刂;ideographic;;;186634;57,971503723
打;223;201;212;to attack, to beat, to hit, to strike;dǎ;⿰扌丁;扌;pictophonetic;丁;扌;186146;58,067701209
女;224;36;130;woman, girl/ female;nǚ;？;女;pictographic;;;185188;58,163403615
变;225;415;320;to change, to transform, to alter/ rebel;biàn;⿱亦又;又;;;;185121;58,259071396
四;226;730;478;four;sì;⿴囗儿;囗;ideographic;;;184874;58,354611531
神;227;500;364;god, spirit/ divine, mysterious, supernatural;shén;⿰礻申;礻;pictophonetic;申;礻;184554;58,449986294
总;228;422;325;to gather, to collect/ overall, altogether;zǒng;⿳丷口心;心;ideographic;;;184470;58,545317648
何;229;346;288;what, why, where, which, how;hé;⿰亻可;亻;;;;184335;58,640579236
电;230;333;282;electricity/ electric/ lightning;diàn;⿻曰乚;曰;ideographic;;;183834;58,735581914
数;231;685;458;count, number, several;shù;⿰娄攵;攵;pictophonetic;娄;攵;183312;58,830314831
安;232;321;276;peaceful, tranquil, quiet;ān;⿱宀女;宀;ideographic;;;183210;58,924995035
少;233;435;334;few, little/ less/ inadequate;shǎo;⿱小丿;小;pictographic;;;183018;59,019576017
报;234;504;369;to announce, to report/ newspaper/ payback, revenge;bào;⿰扌⿸卩又;扌;ideographic;;;182411;59,113843311
才;235;366;300;ability, talent, gift/ just, only;cái;⿻扌？;扌;ideographic;;;181725;59,207756089
结;236;390;313;knot, tie/ to connect, to join;jié;⿰纟吉;纟;pictophonetic;吉;纟;181674;59,301642512
反;237;652;444;reverse, opposite/ contrary, anti-;fǎn;⿸厂又;又;ideographic;;;181385;59,395379583
受;238;553;396;to receive, to get, to accept/ to bear;shòu;⿳爫冖又;又;ideographic;;;180928;59,488880484
目;239;71;155;eye/ to look, to see/ division, topic;mù;⿴口二;目;pictographic;;;180827;59,58232919
太;240;192;216;very, too much/ big/ extreme;tài;⿵大丶;大;ideographic;;;180490;59,675603739
量;241;738;490;measure, volume/ amount, quantity;liàng;⿱旦里;里;pictophonetic;旦;里;180008;59,768629197
再;242;296;269;again, twice, re-;zài;⿱一冉;冂;pictographic;;;179607;59,861447425
感;243;253;248;to affect, to move, to touch/ to perceive, to sense;gǎn;⿱咸心;心;ideographic;;;178383;59,953633108
建;244;907;576;to build, to erect/ to establish, to found;jiàn;⿺廴聿;廴;pictophonetic;聿;廴;178289;60,045770212
务;245;723;484;affairs, business/ should/ must;wù;⿱夂力;夂;;;;176085;60,136768323
做;246;115;180;to work, to make/ to act;zuò;⿰亻故;亻;ideographic;;;175580;60,227505457
接;247;355;301;to connect, to join/ to receive, to meet, to answer the phone;jiē;⿰扌妾;扌;pictophonetic;妾;扌;175473;60,318187295
必;248;443;346;surely, certainly/ must/ will;bì;⿻心丿;心;;;;174963;60,408605572
场;249;375;312;field, open space/ market, square/ stage;chǎng;⿰土勿;土;pictophonetic;昜;土;173632;60,498336009
件;250;400;325;item, matter/ component, part/ measure word for events;jiàn;⿰亻牛;亻;ideographic;;;172895;60,587685575
计;251;376;314;to calculate, to count/ to plan, to reckon/ plot, scheme;jì;⿰讠十;讠;pictophonetic;十;讠;171949;60,676546262
管;252;429;340;tube, pipe, duct/ to manage, to control;guǎn;⿱⺮官;⺮;pictophonetic;官;⺮;170746;60,764785256
期;253;577;415;a period of time/ date, time/ phase;qī;⿰其月;月;pictophonetic;其;月;169806;60,852538473
市;254;1109;682;city, town/ market, fair/ to trade;shì;⿱亠巾;巾;;;;169522;60,940144922
直;255;459;357;straight, vertical/ candid, direct, frank;zhí;⿳十目一;目;ideographic;;;169439;61,027708479
德;256;446;351;ethics, morality/ compassion, kindness;dé;⿰彳⿱⿱十罒⿱一心;彳;pictophonetic;;心;168917;61,115002273
资;257;1023;640;wealth, property, capital;zī;⿱次贝;贝;pictophonetic;次;贝;168890;61,202282115
命;258;466;362;life/ destiny, fate, luck/ an order, instruction;mìng;⿹令口;口;ideographic;;;168358;61,289287027
山;259;749;504;mountain, hill, peak;shān;⿶凵丨;山;pictographic;;;168142;61,376180313
金;260;240;250;gold, metal/ money;jīn;⿱人⿻王丷;金;pictographic;;;167912;61,462954738
指;261;502;382;finger, toe/ to point, to indicate;zhǐ;⿰扌旨;扌;ideographic;;;166865;61,54918809
克;262;273;268;to subdue, to restrain, to overcome/ used in transliterations;kè;⿱十兄;儿;ideographic;;;166044;61,634997161
